source,date,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high
260910,2026-04-16,0.1889168765743073,0.17401960784313725,0.20466321243523317,False,other_axis_band,149.5,37.5,5.0,5.0,1.5,580.7416334960641,109.71189549673755,101.060431319168,118.85644830618928
260910,2026-04-23,0.19743589743589743,0.18204488778054864,0.21372031662269128,False,other_axis_band,147.5,38.5,4.5,3.0,1.5,583.0748759683954,115.11991140914473,106.14580036332386,124.61494710670192
260910,2026-04-30,0.17607223476297967,0.15913978494623657,0.19477434679334918,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,169.0,39.0,4.5,7.5,1.5,640.9042301985003,112.8454400800971,101.99336136492263,124.83170279400719
260910,2026-05-07,0.1891891891891892,0.17464114832535885,0.20454545454545456,False,other_axis_band,153.0,38.5,4.5,6.0,1.5,590.6743906029266,111.74920903298612,103.15605386127665,120.81976171423499
260910,2026-05-14,0.18434343434343434,0.16953316953316952,0.2,False,other_axis_band,149.5,36.5,4.5,6.0,1.5,571.2212788485875,105.30089231299719,96.84095390799149,114.24425576971751
260910,2026-05-21,0.18564356435643564,0.1710843373493976,0.2010178117048346,False,other_axis_band,153.0,37.5,4.0,6.0,1.5,588.2526229690943,109.20531367000513,100.64081019471253,118.24925499887647
260910,2026-05-28,0.16186252771618626,0.14935064935064934,0.175,False,other_axis_band,177.5,36.5,4.0,6.0,1.5,656.9044706758757,106.32821809166059,98.10910925678662,114.95828236827823
260910,2026-06-04,0.167420814479638,0.15086206896551724,0.18571428571428572,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,171.0,37.0,4.0,7.5,1.5,637.8637613809228,106.79167045743957,96.22944676005301,118.46041282788568
260910,2026-06-11,0.1864801864801865,0.17272727272727273,0.20095693779904306,False,other_axis_band,167.0,40.0,4.0,2.0,1.5,639.1633653486704,119.19130356152363,110.40094492386125,128.44431265379978
260910,2026-06-18,0.16526138279932545,0.15562913907284767,0.17525773195876287,False,other_axis_band,220.0,49.0,12.0,14.0,1.5,857.3034025030339,141.67914577621806,133.42139045577017,150.2490499232121
260910,2026-06-25,0.14611260053619302,0.13870541611624834,0.15374149659863945,False,other_axis_band,290.5,54.5,12.5,14.0,1.5,1072.6991596510863,156.73486380960912,148.78918330695384,164.9183742048609
260910,2026-07-02,0.1617440225035162,0.15373961218836565,0.17,False,other_axis_band,277.0,57.5,10.5,9.0,1.5,1040.099476446841,168.22987312431326,159.9044901462595,176.81691099596298
260910,2026-07-09,0.17221418234442837,0.16381766381766383,0.18088235294117647,False,other_axis_band,267.0,59.5,9.5,8.0,1.5,1015.5044957308223,174.8842763993746,166.3575740869581,183.68684261013402
260910,2026-07-16,0.17887323943661973,0.1680327868852459,0.19040697674418605,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,274.0,63.5,8.5,7.5,1.5,1040.8921081240928,186.18774328416873,174.90400177495002,198.19311942479095
260910,2026-07-23,0.16891891891891891,0.15879265091863518,0.1796657381615599,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,291.0,62.5,7.5,7.5,1.5,1102.7261534704119,186.27130970783983,175.10480914687642,198.12210835331913
260910,2026-07-30,0.12870159453302962,0.12260967379077616,0.13494809688581316,False,other_axis_band,366.5,56.5,6.5,8.0,1.5,1293.9960742605092,166.53935807680816,158.656436551626,174.6223075991691
260910,2026-08-06,0.14687100893997446,0.1397984886649874,0.15414507772020725,False,other_axis_band,320.5,57.5,5.0,7.0,1.5,1158.4151096879323,170.1375959311778,161.94468158105852,178.56398711510872
260910,2026-08-13,0.149616368286445,0.1424968474148802,0.1569390402075227,False,other_axis_band,320.5,58.5,4.5,6.0,1.5,1155.1363638938103,172.8273076414013,164.6032901891558,181.28599225830226
260910,2026-08-20,0.14993804213135067,0.1411338962605549,0.1592356687898089,False,unresolved_light_coin_0_to_15px_visual_band;other_axis_band,330.5,60.5,3.5,7.5,1.5,1183.6974278362397,177.48127480568155,167.0598299841255,188.4868515662802
